# 丷・八
# 八・人
# 兑・兌
# 乚・乙
# 良・艮・皀
# 月・円
# 礻・示
# 𠂊・刀
# 丶・一
# 阝・卩？
# 爲・為？

# 柬・東
練	絲木日
爛	火門木日
蘭	艹門木日
欄	木門木日
攔	扌門木日
瀾	氵門木日
闌	門木日
煉	火木日
斕	文門木日
讕	言門木日
鑭	金門木日
籣	⺮門木日
灡	氵艹門木日
襴	衤門木日
暕	日木日
鰊	魚木日
鶫	木日鳥
朄	申木日
瑓	王木日
糷	米艹門木日
萰	艹木日
𡔔	土艹門木日
𪩱	巴門木日
𫲴	子艹門木日
𡄮	口金木日
𫇡	舟艹門木日
㘓	口門木日
𢦂	忄艹門木日
𠣂	言木日力
㦨	忄門木日
囒	口艹門木日
䃹	石門木日
𬵿	魚艹門木日
𥈵	目木日
𫋨	虫言木日
𢒞	木日彡
欗	木艹門木日
𢺤	扌艹門木日
𩽥	魚門木日

# 黑・黒
墨	甲二灬土
黛	亻弋甲二灬
濹	氵四二灬土

# 曾・曽
層	尸丷田日
贈	貝丷田日
僧	亻丷田日
憎	忄丷田日

# 吳・吴・呉
誤	言口乚大
誤	言口乚一八
虞	虎口乚大
虞	虎口乚一八
蜈	虫口乚大
蜈	虫口乚一八
麌	鹿口乚大
鋘	金口乚大
噳	口虎口乚大
茣	艹口乚大
澞	氵虎口乚大
𣮇	口乚大毛

# 画（田・由）
画	一由凵
婳	女一由凵
𪽗	尸丶一由凵
𤳰	尸毛尸丶一由凵
𡳒	尸毛一由凵

# 爪缶・夕缶・爪一十凵
鰩	魚夕牛山
徭	行夕牛山
傜	亻夕牛山
愮	忄夕牛山
颻	夕牛山風
媱	女夕牛山
猺	犭夕牛山
𤁓	氵王夕牛山
𤁠	氵之夕牛山
𩆍	雨氵夕牛山
嗂	口夕牛山
䁘	目夕牛山
𩆡	雨之夕牛山
𡏟	土夕牛山
𩆋	雨扌夕牛山
謡	言爪一十凵
瑶	王爪一十凵
遥	之爪一十凵

# 夕寸・爪寸
埓	土夕寸
将	丬爪寸
蒋	艹丬爪寸

# 直（十且・十目乚）
直	十目乚
置	四十目乚
植	木十目乚
殖	一夕十目乚
矗	十目乚十目乚十目乚
埴	土十目乚
淔	氵十目乚
稙	禾十目乚
犆	牛十目乚
𫹦	十目乚行土寸
𬑚	十目乚匚巾
𫤁	亻小冂口十目乚
𪧡	十目乚宀寸
𫕾	四十目乚非
𥊢	十目乚小冂口
𤣡	犭四勹虫十目乚
𥊣	小冂口十目乚
𤊧	火十目乚
𫗾	禾日十目乚
𠶗	口十目乚

# 真・眞
滇	氵匕目乚八
嗔	口匕目乚八
癲	疒匕目乚八頁
縝	絲匕目乚八
禛	礻匕目乚八
禛	示匕目乚八
闐	門匕目乚八
瞋	目匕目乚八
稹	禾匕目乚八
寘	宀匕目乚八
瑱	王匕目乚八
傎	亻匕目乚八
搷	扌匕目乚八
鬒	長彡匕目乚八
窴	穴匕目乚八
磌	石匕目乚八
蹎	足匕目乚八
衠	行匕目乚八
鷏	匕目乚八鳥
齻	齒匕目乚八
𤄱	氵金匕目乚八
𧜖	衤匕目乚八
𪓇	四二灬匕目乚八頁
𬹙	匕目乚八四二灬
𠆍	亠月匕目乚八
𨁷	足十目乚
𡂌	口匕目乚八小丿
𡻗	山匕目乚八
𬉌	氵口匕目乚八
𤛇	牛匕目乚八
𢅬	白巾匕目乚八
𩝻	食匕目乚八
𤠶	犭匕目乚八

# 且八・目一八
具	目一八
真	十目一八
鎮	金十目一八
填	土十目一八
顛	十目一八頁
慎	忄十目一八
槙	木十目一八
黰	四二灬匕目一八
鷏	十目一八鳥

# 尔・尓
你	亻𠂉小
您	亻𠂉小心
妳	女𠂉小
寳	宀王𠂉小貝
珎	王𠂉小
称	禾𠂉小
猕	犭弓𠂉小
尔	𠂉小
迩	之𠂉小
弥	弓𠂉小
狝	犭𠂉小
玺	𠂉小王丶
祢	礻𠂉小
𨤰	𠂉小王甲二
𥜡	礻𠂉小王甲二
𦼜	艹走𠂉小
𨤧	甲二𠂉小
𠦿	禾𠂉小丿艹
趂	走𠂉小
𫒂	𠂉小甲二
𫵇	尸目𠂉小
𥅘	目𠂉小
𢺔	扌宀王𠂉小貝
𠺰	口禾𠂉小
𠰚	口𠂉小
𢘝	忄𠂉小
𨃾	禾𠂉小足
𡮠	𠂉小尸目
𪮭	扌走𠂉小
𫐪	之力𠂉小
𪡇	口亻𠂉小
䟢	足𠂉小
𥙧	礻乚𠂉小

# 𠂊丨・𠂉丨
𬎽	用𠂉丨
𬪽	千日二𠂉丨
𫎑	貝𠂉丨
𪝪	亻㇕卜㇕又𠂉丨
𬨻	之木口𠂉丨
𪥾	女石𠂉丨
𫢖	亻㇆丿𠂉丨
𪸄	氵臣⺮皿𠂉丨
𬞮	艹之車𠂉丨
𫎚	四貝𠂉丨
𬢞	言𠂉丨
𬂆	丶艮月𠂉丨
𫕸	丰月𠂉丨
𬌣	牛土寸𠂉丨
𪰰	日土寸𠂉丨
𪲣	甘木𠂉丨
𫁞	立𠂉丨
𪯊	凵攵𠂉丨
𬕺	⺮立申𠂉丨
𪫶	人丶㇕心𠂉丨
𪮯	扌口耳𠂉丨
𪝱	亻山隹𠂉丨
𬕳	⺮馬𠂉丨
𫋶	衤刀𠂉丨
𪰇	日𠂉丨
𩵜	魚𠂉丨
𬪄	刀二阝𠂉丨
𫶜	山亠口冂口𠂉丨
𬋱	爪丿㇕㇕㇆灬𠂉丨
𬋫	爪一大又𠂉丨
𬐸	虎田皿𠂉丨
𪶏	氵土厶𠂉丨
𫴬	文寸𠂉丨
𬂨	木寸𠂉丨
𪡉	口丿口𠂉丨
𬬃	金白巾𠂉丨
𪩬	巴𠂉丨
𪬫	立日心𠂉丨
𪣱	土立𠂉丨
𫡔	𠂉丨一卜乚
𫧣	十冂半𠂉丨
𬋆	火木四𠂉丨
𬎻	文厂生𠂉丨
𪫓	行尹二𠂉丨
𪿸	石石石𠂉丨
𬆒	一夕刂𠂉丨
𪱕	日耳又𠂉丨
𪟳	𠂉十𠂉丨
𪠉	厂止𠂉丨
𬑅	目𠂉丨
𪥯	𠂉丨女又
𫆡	亠厶月𠂉丨
𪞀	小兀𠂉丨
𫉼	艹四戊丶𠂉丨
𪾆	皮𠂉丨
𪡍	文口𠂉丨
𬓗	礻彐水𠂉丨
𬖩	米夕㐄𠂉丨
𪤸	夕卜𠂉丨
𫡐	㇆丿𠂉丨
𫧦	亠幺氵十𠂉丨
𪤲	士尸𠂉丨

# 大・犬
器	口口大口口
類	米大頁
臭	自大
突	穴大
莽	艹大艹
蟒	虫艹大艹
唳	口户大
捩	扌户大
綟	絲户大

# 賴（𠂊・刀）
懶	忄木口刀貝
賴	木口刀貝
瀨	氵木口刀貝
癩	疒木口刀貝
籟	⺮木口刀貝
獺	犭木口刀貝
嬾	女木口刀貝
藾	艹木口刀貝
𱜝	匚㇕忄木口刀貝
𣡙	日木木口刀貝
𡚚	大木口刀貝
𬟣	艹氵木口刀貝
𣡚	日木木口刀貝
𬯩	阝丁口木口刀貝
𢁑	巴木口刀貝
𢀲	匚㇕木口刀貝

# 晋・晉
縉	絲二厶厶日
瑨	王二厶厶日
搢	扌二厶厶日
溍	氵二厶厶日
鄑	二厶厶日阝

# 氐（氏丶・氏一）
低	亻氏一
底	广氏一
抵	扌氏一
牴	牛氏一
邸	氏一阝
祗	礻氏一
骶	骨氏一
氐	氏一
砥	石氏一
胝	月氏一
羝	羊氏一
鴟	氏一鳥
詆	言氏一
柢	木氏一
坻	土氏一
厎	厂氏一
袛	衤氏一
秪	禾氏一
菧	艹广氏一
茋	艹氏一
蚳	虫氏一
軧	車氏一
岻	山氏一
泜	氵氏一
阺	阝氏一
弤	弓氏一
貾	貝氏一
觝	𠂊用氏一
𥓵	石广氏一
𬺙	立申亻氏一
𢋠	亠丷冖巾广氏一
𧍉	虫广氏一
𡌠	土亻氏一
𦝉	月广氏一
𬇉	氏一刀
𤯰	生广氏一
𤯿	广氏一立丿生
𪂰	鳥广氏一
𫢵	亻氏一一卜
𦰣	艹亻氏一
𣷳	氵广氏一
𡞖	女广氏一
𪽅	广氏一生
𢋴	廿儿冖巾广氏一
掋	扌广氏一
㭽	木广氏一
𦨢	舟氏一
𦅴	尸毛絲氏一
𠴓	口亻氏一

# 氏一・亻二
印	亻二卩
茚	艹亻二卩
襃	衣亻二口木
褎	衣亻二禾
𬏥	疒亻二卩

# 界（八・人）
界	田人川
堺	土田人川
𤲂	田人川一卜
𪽐	丿田人川
𤋽	火田人川
𫈨	艹田人川

# 犮（犬㇕・犬丿）
髮	長彡犬丿
拔	扌犬丿
跋	足犬丿
魃	鬼犬丿
鈸	金犬丿
紱	絲犬丿
菝	艹扌犬丿
祓	礻犬丿
黻	业水冂犬丿
茇	艹犬丿
犮	犬丿
沷	氵犬丿
妭	女犬丿
秡	禾犬丿
袚	衤犬丿
軷	車犬丿
韍	韋口㐄犬丿
胈	月犬丿
詙	言犬丿
帗	巾犬丿
蛂	虫犬丿
鼥	臼巛犬丿
瞂	斤十目犬丿
翇	习习犬丿
𧛌	衣寸丿犬丿

# 鄉・郷
響	乡艮阝立日
曏	日乡艮阝
饗	乡艮阝食
薌	艹乡艮阝
膷	月乡艮阝
蠁	乡艮阝虫
鱜	魚乡艮阝
嚮	乡艮阝自口

# 呂・吕
營	火火冖口丿口
鋁	金口丿口
閭	門口丿口
莒	艹口丿口
櫚	木門口丿口
営	⺍冖口丿口
麿	广木木口丿口
瀯	氵火火冖口丿口
筥	⺮口丿口
梠	木口丿口
絽	絲口丿口
郘	口丿口阝
营	艹冖口丿口
稆	禾口丿口
𣨕	一夕口丿口
𤞪	犭口丿口
𡄀	口丿口艹四十乚
𬩀	之不口丿口
捛	扌口丿口
𫭐	圍口口丿口
𥓅	石口丿口
𥺓	米口丿口
𠴊	口口丿口
𥆻	目口丿口
𡋿	土口丿口
𱜗	口丿口匚㇕
𠭤	口丿口斤又
𫡽	亠八乂口丿口
𡳎	尸毛口丿口
𨓐	之口丿口
𫤉	亻匕頁口丿口
焒	火口丿口
𠒦	小兀口丿口
𣳮	氵口丿口
𫶴	羊工口丿口
𥖕	口丿口石皮
𪡉	口丿口𠂊丨
𪁳	口丿口鳥
𤳧	口丿口田廿八
𫼴	手口丿口
𡱶	尸口丿口
𨹬	阝口丿口
𢙲	忄口丿口
㛎	女口丿口
𤀗	氵牛儿口丿口
𥖓	石皮口丿口
𫶷	口丿口巴

# 巳・己・卩
起	走巳
包	勹己
選	之己己廿八
泡	氵勹己
抱	扌勹己
港	氵廿八己
飽	食勹己
遷	之西大己
遷	之西大卩
胞	月勹己
巽	己己廿八
躚	足之西大卩
萢	艹氵勹己
砲	石勹己
异	己艹
韆	革之西大卩
僊	亻西大卩
𧽈	走巳申丿
𤠳	犭走巳
𫎼	走巳宀女
𬏌	由走巳
𬦗	走巳三小
𧽇	申丿走巳
